month_year,county,liters_sold
2018-01-01,Black Hawk,90066.28000000001
2018-02-01,Black Hawk,86793.84999999996
2018-03-01,Black Hawk,89567.47999999997
2018-04-01,Black Hawk,99040.50000000004
2018-05-01,Black Hawk,103913.77000000002
2018-06-01,Black Hawk,98547.27000000002
2018-07-01,Black Hawk,92726.29
2018-08-01,Black Hawk,112112.01000000007
2018-09-01,Black Hawk,80864.05
2018-10-01,Black Hawk,116986.59
2018-11-01,Black Hawk,95502.96000000002
2018-12-01,Black Hawk,118662.92
2019-01-01,Black Hawk,77556.31
2019-02-01,Black Hawk,96932.48999999996
2019-03-01,Black Hawk,86523.44999999998
2019-04-01,Black Hawk,103183.10999999994
2019-05-01,Black Hawk,110604.30000000002
2019-06-01,Black Hawk,100192.0499999999
2019-07-01,Black Hawk,107683.89000000001
2019-08-01,Black Hawk,88317.89000000006
2019-09-01,Black Hawk,86052.51999999999
2019-10-01,Black Hawk,123613.17999999998
2019-11-01,Black Hawk,93232.75000000001
2019-12-01,Black Hawk,122565.24
2020-01-01,Black Hawk,74738.71
2020-02-01,Black Hawk,97712.38000000003
2020-03-01,Black Hawk,103234.43000000005
2020-04-01,Black Hawk,100851.04999999993
2020-05-01,Black Hawk,97244.63000000003
2020-06-01,Black Hawk,126133.76999999997
2020-07-01,Black Hawk,104834.07000000005
2020-08-01,Black Hawk,100707.24999999994
2020-09-01,Black Hawk,119747.40999999989
2020-10-01,Black Hawk,112488.58000000002
2020-11-01,Black Hawk,105285.27000000005
2020-12-01,Black Hawk,128643.86999999991
2021-01-01,Black Hawk,89638.54000000002
2021-02-01,Black Hawk,101567.7
2021-03-01,Black Hawk,105291.55
2021-04-01,Black Hawk,114867.45000000006
2021-05-01,Black Hawk,105435.72000000002
2021-06-01,Black Hawk,112885.26000000004
2021-07-01,Black Hawk,115423.59999999999
2021-08-01,Black Hawk,105258.31
2021-09-01,Black Hawk,116748.05000000003
2021-10-01,Black Hawk,104138.21000000002
2021-11-01,Black Hawk,114108.51000000004
2021-12-01,Black Hawk,135680.83000000005
2022-01-01,Black Hawk,75473.46000000005
2022-02-01,Black Hawk,99177.29999999999
2022-03-01,Black Hawk,97017.33999999997
2022-04-01,Black Hawk,103091.80000000005
2022-05-01,Black Hawk,101925.59000000004
2022-06-01,Black Hawk,112822.79000000007
2022-07-01,Black Hawk,90567.35999999997
2022-08-01,Black Hawk,101522.32000000002
2022-09-01,Black Hawk,115759.34999999996
2022-10-01,Black Hawk,108275.75999999995
2022-11-01,Black Hawk,96754.87000000002
2022-12-01,Black Hawk,114792.09999999998
2023-01-01,Black Hawk,90350.09000000008
2023-02-01,Black Hawk,95129.51999999999
2023-03-01,Black Hawk,108404.16
2023-04-01,Black Hawk,91925.07999999999
2023-05-01,Black Hawk,104774.60000000005
2023-06-01,Black Hawk,114228.63000000006
2023-07-01,Black Hawk,87769.73999999999
2023-08-01,Black Hawk,108616.83000000005
2023-09-01,Black Hawk,89351.46999999997
2023-10-01,Black Hawk,105724.73
2023-11-01,Black Hawk,103773.97000000004
2023-12-01,Black Hawk,106164.00999999997
2018-01-01,Dallas,17174.020000000004
2018-02-01,Dallas,26293.530000000002
2018-03-01,Dallas,34328.56999999998
2018-04-01,Dallas,33655.88999999998
2018-05-01,Dallas,31702.88999999997
2018-06-01,Dallas,42116.270000000004
2018-07-01,Dallas,43032.56999999998
2018-08-01,Dallas,54352.81000000003
2018-09-01,Dallas,22814.39
2018-10-01,Dallas,33687.68
2018-11-01,Dallas,34706.25
2018-12-01,Dallas,56346.04000000002
2019-01-01,Dallas,43576.64
2019-02-01,Dallas,29703.949999999983
2019-03-01,Dallas,28025.069999999974
2019-04-01,Dallas,24970.21
2019-05-01,Dallas,45406.56000000001
2019-06-01,Dallas,50096.699999999975
2019-07-01,Dallas,65359.870000000024
2019-08-01,Dallas,31521.789999999994
2019-09-01,Dallas,29915.95
2019-10-01,Dallas,66856.01000000001
2019-11-01,Dallas,35098.86999999995
2019-12-01,Dallas,43700.9
2020-01-01,Dallas,32444.76999999999
2020-02-01,Dallas,33060.77999999999
2020-03-01,Dallas,53649.06999999999
2020-04-01,Dallas,54645.04
2020-05-01,Dallas,59498.82
2020-06-01,Dallas,80785.52
2020-07-01,Dallas,54603.84999999998
2020-08-01,Dallas,55878.14000000001
2020-09-01,Dallas,69305.11000000004
2020-10-01,Dallas,51604.65999999998
2020-11-01,Dallas,36285.51
2020-12-01,Dallas,66392.58999999998
2021-01-01,Dallas,46795.999999999985
2021-02-01,Dallas,38808.950000000004
2021-03-01,Dallas,56157.91999999999
2021-04-01,Dallas,39727.629999999976
2021-05-01,Dallas,53090.229999999996
2021-06-01,Dallas,72752.48999999996
2021-07-01,Dallas,60212.769999999975
2021-08-01,Dallas,52023.15999999998
2021-09-01,Dallas,49396.28999999996
2021-10-01,Dallas,66890.46999999999
2021-11-01,Dallas,77673.63999999998
2021-12-01,Dallas,55086.749999999985
2022-01-01,Dallas,39112.15000000001
2022-02-01,Dallas,32699.709999999985
2022-03-01,Dallas,43001.19000000001
2022-04-01,Dallas,52240.109999999986
2022-05-01,Dallas,63473.659999999974
2022-06-01,Dallas,58100.37999999998
2022-07-01,Dallas,48266.41000000001
2022-08-01,Dallas,71925.07999999997
2022-09-01,Dallas,64141.280000000006
2022-10-01,Dallas,68326.46999999996
2022-11-01,Dallas,51336.74
2022-12-01,Dallas,66139.43
2023-01-01,Dallas,48070.91999999996
2023-02-01,Dallas,44420.85999999998
2023-03-01,Dallas,48856.820000000014
2023-04-01,Dallas,48184.39999999999
2023-05-01,Dallas,64237.25999999996
2023-06-01,Dallas,63006.53999999999
2023-07-01,Dallas,50851.78999999995
2023-08-01,Dallas,63992.99999999994
2023-09-01,Dallas,49971.07999999999
2023-10-01,Dallas,60681.25
2023-11-01,Dallas,59942.400000000016
2023-12-01,Dallas,56604.37999999998
2018-01-01,Dubuque,54963.049999999945
2018-02-01,Dubuque,50511.039999999986
2018-03-01,Dubuque,50428.229999999996
2018-04-01,Dubuque,54395.76
2018-05-01,Dubuque,73326.89999999998
2018-06-01,Dubuque,57039.49000000001
2018-07-01,Dubuque,62557.860000000015
2018-08-01,Dubuque,52945.91999999999
2018-09-01,Dubuque,53366.71999999997
2018-10-01,Dubuque,70554.81999999999
2018-11-01,Dubuque,62347.729999999996
2018-12-01,Dubuque,67948.46999999997
